ResponseID,Px,ABIS_attention,ABIS_motor,ABIS_nonplanning,SCS,EAT,HealthConsc,Max
R_3LcGcPewN2ypt4f,2.0,2.0,1.25,6.0,5.333333333333333,3.4615384615384617,1,129.0
R_1CfFwwaFuLH6yl3,1.0,1.5,1.5,23.0,6.166666666666667,3.0,2,161.0
R_6DLpV0QcvT5GWHj,3.0,1.25,1.5,16.0,7.0,2.6153846153846154,4,108.0
R_1QAwryl91iVfvTP,2.2,1.5,2.0,5.0,4.833333333333333,3.6153846153846154,5,123.0
R_1l3jMmbMDG13ZaJ,1.8,1.5,1.25,15.0,6.5,3.3076923076923075,6,133.0
R_2WIRyptUsKuwVC6,1.4,1.0,1.25,21.0,5.333333333333333,3.1538461538461537,7,146.0
R_UWNDNUD3htaofND,1.8,1.0,1.25,4.0,4.333333333333333,3.0,8,125.0
R_2soE8pOQAvjBTlH,1.6,1.0,2.5,18.0,7.0,1.9230769230769231,9,141.0
R_xGfGbU5A3YZgq5j,1.4,2.75,3.25,5.0,4.166666666666667,5.230769230769231,10,156.0
R_2aRemQOcdJfdFdY,1.8,1.75,2.0,6.0,5.333333333333333,4.846153846153846,13,140.0
R_1NlX6T8r68AWhhi,2.0,2.25,2.0,20.0,1.0,2.3076923076923075,14,111.0
R_1QJAGohbKgLQYwC,2.4,1.75,1.25,16.0,5.666666666666667,3.5384615384615383,15,105.0
R_veF2BJgp1kux68x,2.0,1.25,2.25,6.0,4.333333333333333,3.5,16,134.0
R_3FJ0oLIiyCbmzcj,1.4,1.25,1.25,9.0,6.0,2.5384615384615383,17,141.0
R_3nTuoP3F27UErKS,1.8,1.75,1.5,15.0,6.166666666666667,3.8461538461538463,19,133.0
R_2qypNH5B7D1JWrn,1.8,1.5,2.75,10.0,5.5,3.769230769230769,20,135.0
R_25QlsS8vsstmPJX,2.6,2.5,2.0,17.0,6.166666666666667,2.5384615384615383,21,110.0
R_BD5JEIVf6fgSJBD,2.2,1.5,2.25,14.0,5.0,3.769230769230769,22,116.0
R_3lypwg5eshvBZKr,2.0,2.0,2.0,18.0,6.166666666666667,2.8461538461538463,23,134.0
R_2xQnrgy9M6Ge54p,1.8,1.5,1.75,6.0,6.666666666666667,3.3846153846153846,24,140.0
R_2zpAUMVHwaQzS3Y,2.0,1.75,2.0,6.0,4.333333333333333,3.6153846153846154,25,121.0
R_3eeoPUeMPH7CJjU,1.0,1.5,1.0,7.0,6.5,3.3846153846153846,27,164.0
R_2RWGtSHt5kKUzGX,1.2,1.0,1.25,21.0,5.5,3.6153846153846154,28,157.0
R_3fTUOkUKwXuCX3Q,1.8,2.0,1.5,10.0,5.833333333333333,3.230769230769231,29,131.0
R_2aR0EslE9GCMfMj,2.0,1.25,1.25,24.0,7.0,3.6153846153846154,30,129.0
R_2Pj7Kx64dmJzqNM,2.2,2.25,1.25,10.0,4.666666666666667,3.230769230769231,31,107.0
R_2R8t4IZ7ZqEbqDQ,1.8,2.0,1.0,9.0,6.0,2.6923076923076925,32,120.0
R_2xAcfDkav4A09Gw,1.8,1.5,2.0,8.0,5.666666666666667,4.076923076923077,33,121.0
R_3gMogNCHWMVaDG9,2.0,2.25,2.25,23.0,7.0,3.923076923076923,34,128.0
R_1QKOQka1oXWDk6M,1.8,2.25,2.25,12.0,4.166666666666667,3.6923076923076925,35,133.0
R_25FKD0TFtvNy8W5,1.0,1.0,1.25,1.0,5.666666666666667,1.6923076923076923,36,150.0
R_1QtKcKNydTfZCwn,1.8,2.5,2.0,6.0,4.5,2.769230769230769,37,101.0
R_3nVNxG4aI9EM7yQ,1.6,2.25,1.25,33.0,6.333333333333333,2.3846153846153846,38,117.0
R_RaYQ2YtncHpfC1P,2.6,2.5,2.5,9.0,4.5,3.923076923076923,39,106.0
R_2dsTnudy7PQIKtb,1.2,2.25,1.5,10.0,6.666666666666667,2.5384615384615383,40,147.0
R_PRJGUpQuRcMtqVP,1.0,1.0,1.0,4.0,5.0,5.3076923076923075,41,61.0
R_WlmNUJOP3NWmjkd,2.6,2.0,1.5,13.0,5.666666666666667,3.5384615384615383,43,93.0
R_cBzscWMzrGQ3aox,1.0,1.5,1.25,13.0,3.3333333333333335,3.3846153846153846,45,121.0
R_2Pe7AvDfVeGiKxO,1.8,1.25,1.25,17.0,6.166666666666667,4.461538461538462,46,133.0
R_3rONs07TA4QicUS,2.2,1.5,2.5,6.0,5.166666666666667,2.769230769230769,47,121.0
R_yxL8Gfkn40yVYyZ,2.8,2.0,3.25,8.0,4.666666666666667,3.8461538461538463,48,103.0
R_1gnXgtXYzLMRmaK,1.8,1.75,1.75,13.0,4.833333333333333,4.0,49,131.0
R_1HqRDKfMqwpbvsl,2.0,1.0,1.25,14.0,5.5,2.6923076923076925,50,148.0
R_1lot7ga2Hm50l1m,2.8,2.0,2.25,31.0,6.0,2.3076923076923075,51,107.0
R_25SFF8mvfPgE6E4,2.6,1.25,2.5,13.0,3.8333333333333335,4.769230769230769,53,129.0
R_1o1F0CEXsOonQ5Z,1.8,1.0,1.25,24.0,6.0,4.230769230769231,54,125.0
R_2D5gNGT3ci8om3E,1.8,2.0,2.25,11.0,6.0,4.538461538461538,55,130.0
R_1opPjlGohENAUwg,1.8,3.0,1.25,8.0,5.166666666666667,2.769230769230769,56,133.0
R_2thz28r49bSprff,1.4,1.75,1.0,7.0,6.0,4.461538461538462,57,135.0
R_3J9v0OBmSEK5b7k,2.4,2.25,1.75,5.0,6.333333333333333,3.4615384615384617,58,105.0
R_1IjigcTEpvqN8kc,2.2,1.0,2.75,8.0,4.5,4.461538461538462,59,135.0
R_2VayzL3dHE6r5dE,1.2,1.75,2.0,11.0,7.0,3.076923076923077,61,135.0
R_21G8TNP5bfX3fXf,2.2,1.5,1.5,8.0,5.0,3.769230769230769,62,142.0
R_ehN0fXNdcQBFMHf,1.8,1.25,1.25,3.0,5.333333333333333,4.846153846153846,63,141.0
